Test ID,Test Name,Category,Status,Findings Count,Critical Issues,High Issues,Medium Issues
"dns-resolution","DNS Resolution & Analysis","Infrastructure","completed","1","0","0","0"
"ssl-tls-analysis","SSL/TLS Certificate Analysis","Infrastructure","completed","2","0","0","0"
"security-headers","Security Headers Analysis","Web Security","completed","4","0","0","0"
"cms-detection","CMS & Framework Detection","Reconnaissance","completed","1","0","0","0"
"subdomain-enumeration","Subdomain Enumeration","Web Application","completed","1","0","0","0"
"port-scanning","Port Scanning","Web Application","completed","1","0","0","0"
"directory-enumeration","Directory Enumeration","Web Application","completed","1","0","0","0"
"sql-injection","SQL Injection","Web Application","completed","1","0","0","0"
"xss-testing","XSS Testing","Web Application","completed","1","0","0","0"
"csrf-testing","CSRF Testing","Web Application","completed","1","0","0","0"
"authentication-bypass","Auth Bypass","Web Application","completed","1","0","0","0"
"file-upload-testing","File Upload","Web Application","completed","1","0","0","0"
"insecure-direct-objects","IDOR Testing","Web Application","completed","1","0","0","0"
"server-side-request-forgery","SSRF Testing","Web Application","completed","1","0","0","0"
"xml-external-entity","XXE Testing","Web Application","completed","1","0","0","0"
"command-injection","Command Injection","Web Application","completed","1","0","0","0"
"business-logic-flaws","Business Logic","Web Application","completed","1","0","0","0"
"information-disclosure","Info Disclosure","Web Application","completed","1","0","0","0"
"api-security-testing","API Security","Web Application","completed","1","0","0","0"
"vulnerability-scanning","Vulnerability Scan","Web Application","completed","1","0","0","0"
